contract_id,underlying_ticker,expiration,strike,option_type,last_price,mark_price,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho,data_source
NVDA210528C00470000,NVDA,2021-05-28,470.0,call,94.68,179.88,176.2,1,183.55,1,0,11,2021-05-28,2.38067,0.99611,0.00014,-0.46823,0.00393,0.0128,alpha_vantage
NVDA210528P00470000,NVDA,2021-05-28,470.0,put,0.02,0.01,0.0,0,0.01,100,0,205,2021-05-28,1.9319,-0.00057,3e-05,-0.06586,0.00068,-1e-05,alpha_vantage
NVDA210528C00475000,NVDA,2021-05-28,475.0,call,0.0,174.95,171.2,1,178.7,1,0,0,2021-05-28,2.45872,0.99377,0.00021,-0.73548,0.00598,0.0129,alpha_vantage
NVDA210528P00475000,NVDA,2021-05-28,475.0,put,0.0,0.01,0.0,0,0.01,100,0,0,2021-05-28,1.87337,-0.00059,3e-05,-0.06584,0.0007,-1e-05,alpha_vantage
NVDA210528C00480000,NVDA,2021-05-28,480.0,call,118.45,169.95,166.15,1,173.75,1,0,52,2021-05-28,2.38067,0.99366,0.00022,-0.72337,0.00607,0.01303,alpha_vantage
NVDA210528P00480000,NVDA,2021-05-28,480.0,put,0.01,0.01,0.0,0,0.01,100,86,565,2021-05-28,1.81483,-0.00061,3e-05,-0.06561,0.00072,-1e-05,alpha_vantage
NVDA210528C00485000,NVDA,2021-05-28,485.0,call,102.0,164.85,161.05,7,168.65,7,0,0,2021-05-28,2.088,0.99684,0.00013,-0.34093,0.00326,0.01323,alpha_vantage
NVDA210528P00485000,NVDA,2021-05-28,485.0,put,0.01,0.01,0.0,0,0.01,90,78,445,2021-05-28,1.7563,-0.00062,4e-05,-0.06516,0.00074,-1e-05,alpha_vantage
NVDA210528C00490000,NVDA,2021-05-28,490.0,call,115.8,159.93,156.15,1,163.7,7,0,38,2021-05-28,2.20507,0.99384,0.00023,-0.65306,0.00592,0.01331,alpha_vantage
NVDA210528P00490000,NVDA,2021-05-28,490.0,put,0.01,0.01,0.0,0,0.01,100,18,760,2021-05-28,1.69776,-0.00064,4e-05,-0.06447,0.00076,-1e-05,alpha_vantage
