ticker,date,contract_id,strike,expiration,option_type,last_price,bid,ask,volume,open_interest,implied_volatility,delta,gamma,theta,vega,event_name,event_company,event_category
AAPL,2024-01-08,AAPL240112C00170000,170.0,2024-01-12,call,0.0,15.4,15.95,563,0,0.0,0.99213,0.00317,-0.04304,0.0042,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112P00170000,170.0,2024-01-12,put,0.0,0.02,0.03,2196,0,0.0,-0.01102,0.00403,-0.02583,0.00563,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112C00172500,172.5,2024-01-12,call,0.0,12.95,13.4,201,0,0.0,0.99212,0.0038,-0.04035,0.0042,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112P00172500,172.5,2024-01-12,put,0.0,0.03,0.04,4089,0,0.0,-0.01641,0.00634,-0.03251,0.00794,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112C00175000,175.0,2024-01-12,call,0.0,10.6,10.9,1067,0,0.0,0.96605,0.01242,-0.08178,0.01464,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112P00175000,175.0,2024-01-12,put,0.0,0.05,0.06,10017,0,0.0,-0.02588,0.01057,-0.04208,0.01169,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112C00177500,177.5,2024-01-12,call,0.0,8.15,8.4,696,0,0.0,0.94366,0.02135,-0.09963,0.02202,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112P00177500,177.5,2024-01-12,put,0.0,0.09,0.1,14703,0,0.0,-0.044,0.01887,-0.05618,0.01808,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112C00180000,180.0,2024-01-12,call,0.0,5.8,6.0,5575,0,0.0,0.89901,0.03882,-0.1241,0.03434,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112P00180000,180.0,2024-01-12,put,0.0,0.2,0.23,34807,0,0.0,-0.10099,0.03882,-0.09783,0.03434,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112C00182500,182.5,2024-01-12,call,0.0,3.7,3.8,29106,0,0.0,0.78126,0.07071,-0.17461,0.05733,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112P00182500,182.5,2024-01-12,put,0.0,0.52,0.55,35087,0,0.0,-0.21874,0.07071,-0.14797,0.05733,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112C00185000,185.0,2024-01-12,call,0.0,1.94,2.01,94258,0,0.0,0.56812,0.09418,-0.2202,0.07636,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112P00185000,185.0,2024-01-12,put,0.0,1.25,1.29,16732,0,0.0,-0.426,0.10331,-0.17426,0.07616,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112C00187500,187.5,2024-01-12,call,0.0,0.79,0.83,83660,0,0.0,0.31926,0.09414,-0.17801,0.0694,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112P00187500,187.5,2024-01-12,put,0.0,2.58,2.72,1736,0,0.0,-0.68074,0.09414,-0.15065,0.0694,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112C00190000,190.0,2024-01-12,call,0.0,0.25,0.26,40252,0,0.0,0.13191,0.05631,-0.1049,0.04151,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112P00190000,190.0,2024-01-12,put,0.0,4.55,4.75,1052,0,0.0,-0.84471,0.05716,-0.10091,0.04635,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112C00192500,192.5,2024-01-12,call,0.0,0.06,0.07,10214,0,0.0,0.03949,0.02247,-0.04152,0.01657,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112P00192500,192.5,2024-01-12,put,0.0,6.85,7.2,2241,0,0.0,-0.91088,0.03269,-0.07368,0.03132,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112C00195000,195.0,2024-01-12,call,0.0,0.02,0.03,6828,0,0.0,0.01505,0.0091,-0.02022,0.00738,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112P00195000,195.0,2024-01-12,put,0.0,9.4,9.7,1185,0,0.0,-0.91831,0.02342,-0.09545,0.02934,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112C00197500,197.5,2024-01-12,call,0.0,0.01,0.02,3800,0,0.0,0.00611,0.0038,-0.01,0.00336,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112P00197500,197.5,2024-01-12,put,0.0,11.45,12.15,1160,0,0.0,-1.0,0.0,0.02882,0.0,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112C00200000,200.0,2024-01-12,call,0.0,0.0,0.01,4118,0,0.0,0.00489,0.00267,-0.00954,0.00275,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112P00200000,200.0,2024-01-12,put,0.0,14.3,14.7,3670,0,0.0,-0.94858,0.01264,-0.08217,0.02049,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112C00202500,202.5,2024-01-12,call,0.0,0.0,0.01,32,0,0.0,0.00418,0.00203,-0.00947,0.0024,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112P00202500,202.5,2024-01-12,put,0.0,16.4,17.2,489,0,0.0,-1.0,0.0,0.02955,0.0,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112C00205000,205.0,2024-01-12,call,0.0,0.0,0.01,150,0,0.0,0.00375,0.00164,-0.00964,0.00217,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112P00205000,205.0,2024-01-12,put,0.0,19.0,19.75,457,0,0.0,-0.98141,0.00522,-0.0202,0.00884,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112C00207500,207.5,2024-01-12,call,0.0,0.0,0.01,29,0,0.0,0.00348,0.00138,-0.01,0.00203,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112P00207500,207.5,2024-01-12,put,0.0,21.6,22.15,0,0,0.0,-0.98057,0.00479,-0.02845,0.00918,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112C00210000,210.0,2024-01-12,call,0.0,0.0,0.01,29,0,0.0,0.0033,0.00119,-0.01048,0.00194,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112P00210000,210.0,2024-01-12,put,0.0,23.9,24.7,0,0,0.0,-1.0,0.0,0.03065,0.0,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112C00212500,212.5,2024-01-12,call,0.0,0.0,0.01,1,0,0.0,0.00319,0.00106,-0.01109,0.00188,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112P00212500,212.5,2024-01-12,put,0.0,26.75,27.25,0,0,0.0,-0.96393,0.0058,-0.10507,0.01539,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112C00215000,215.0,2024-01-12,call,0.0,0.0,0.01,1,0,0.0,0.00313,0.00096,-0.01179,0.00185,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112P00215000,215.0,2024-01-12,put,0.0,29.25,29.7,0,0,0.0,-0.96786,0.005,-0.09919,0.01399,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112C00217500,217.5,2024-01-12,call,0.0,0.0,0.01,0,0,0.0,0.0031,0.00089,-0.01259,0.00183,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112P00217500,217.5,2024-01-12,put,0.0,31.45,32.2,0,0,0.0,-0.99462,0.00136,0.00966,0.003,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112C00220000,220.0,2024-01-12,call,0.0,0.0,0.01,0,0,0.0,0.0031,0.00083,-0.01348,0.00183,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112P00220000,220.0,2024-01-12,put,0.0,34.1,34.7,0,0,0.0,-0.98166,0.00304,-0.05151,0.00874,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112C00222500,222.5,2024-01-12,call,0.0,0.0,0.01,0,0,0.0,0.00312,0.00078,-0.01446,0.00184,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112P00222500,222.5,2024-01-12,put,0.0,36.6,37.2,0,0,0.0,-0.98293,0.00272,-0.0502,0.00822,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112C00225000,225.0,2024-01-12,call,0.0,0.0,0.01,0,0,0.0,0.00243,0.00061,-0.01191,0.00147,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112P00225000,225.0,2024-01-12,put,0.0,39.0,39.7,0,0,0.0,-0.99114,0.00162,-0.01172,0.00466,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112C00230000,230.0,2024-01-12,call,0.0,0.0,0.01,0,0,0.0,0.0026,0.00057,-0.01417,0.00156,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112P00230000,230.0,2024-01-12,put,0.0,44.25,44.7,0,0,0.0,-0.97514,0.00295,-0.11045,0.0113,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112C00235000,235.0,2024-01-12,call,0.0,0.0,0.01,0,0,0.0,0.00224,0.00046,-0.01338,0.00137,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112P00235000,235.0,2024-01-12,put,0.0,49.25,49.75,0,0,0.0,-0.9753,0.00268,-0.12262,0.01124,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112C00240000,240.0,2024-01-12,call,0.0,0.0,0.01,0,0,0.0,0.002,0.00039,-0.01299,0.00123,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112P00240000,240.0,2024-01-12,put,0.0,53.9,54.7,0,0,0.0,-0.99995,2e-05,0.03471,4e-05,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112C00245000,245.0,2024-01-12,call,0.0,0.0,0.01,0,0,0.0,0.00185,0.00034,-0.0129,0.00114,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112P00245000,245.0,2024-01-12,put,0.0,59.25,59.7,0,0,0.0,-0.9784,0.0021,-0.12398,0.01004,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112C00250000,250.0,2024-01-12,call,0.0,0.0,0.01,0,0,0.0,0.00174,0.0003,-0.01303,0.00109,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112P00250000,250.0,2024-01-12,put,0.0,64.0,64.7,0,0,0.0,-0.99198,0.00098,-0.02517,0.00427,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112C00255000,255.0,2024-01-12,call,0.0,0.0,0.01,0,0,0.0,0.00168,0.00027,-0.01335,0.00105,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112P00255000,255.0,2024-01-12,put,0.0,69.1,69.7,0,0,0.0,-0.98777,0.00125,-0.06394,0.00617,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112C00260000,260.0,2024-01-12,call,0.0,0.0,0.01,6,0,0.0,0.00164,0.00025,-0.01383,0.00103,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112P00260000,260.0,2024-01-12,put,0.0,74.25,74.7,0,0,0.0,-0.98174,0.00156,-0.12391,0.0087,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112C00265000,265.0,2024-01-12,call,0.0,0.0,0.01,12,0,0.0,0.00162,0.00024,-0.01447,0.00102,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240112P00265000,265.0,2024-01-12,put,0.0,79.15,79.75,1,0,0.0,-0.98315,0.0014,-0.11836,0.00813,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240119C00050000,50.0,2024-01-19,call,0.0,135.35,136.0,15,0,0.0,0.99859,5e-05,-0.02577,0.00148,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240119P00050000,50.0,2024-01-19,put,0.0,0.0,0.01,0,0,0.0,-0.00043,2e-05,-0.00541,0.00049,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240119C00055000,55.0,2024-01-19,call,0.0,130.4,131.0,0,0,0.0,0.99819,7e-05,-0.03014,0.00187,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240119P00055000,55.0,2024-01-19,put,0.0,0.0,0.01,0,0,0.0,-0.00049,2e-05,-0.00579,0.00056,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240119C00060000,60.0,2024-01-19,call,0.0,125.4,125.85,30,0,0.0,1.0,0.0,-0.00875,0.0,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240119P00060000,60.0,2024-01-19,put,0.0,0.0,0.01,0,0,0.0,-0.00053,3e-05,-0.00579,0.00061,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240119C00065000,65.0,2024-01-19,call,0.0,120.4,120.85,9,0,0.0,1.0,0.0,-0.00948,0.0,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240119P00065000,65.0,2024-01-19,put,0.0,0.0,0.01,0,0,0.0,-0.00054,3e-05,-0.0054,0.00061,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240119C00070000,70.0,2024-01-19,call,0.0,115.25,116.05,0,0,0.0,1.0,0.0,-0.01021,0.0,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240119P00070000,70.0,2024-01-19,put,0.0,0.0,0.01,0,0,0.0,-0.00056,3e-05,-0.00525,0.00064,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240119C00075000,75.0,2024-01-19,call,0.0,110.0,111.05,0,0,0.0,1.0,0.0,-0.01093,0.0,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240119P00075000,75.0,2024-01-19,put,0.0,0.0,0.01,0,0,0.0,-0.00063,4e-05,-0.00543,0.00071,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240119C00080000,80.0,2024-01-19,call,0.0,105.45,106.1,0,0,0.0,0.99579,0.0002,-0.04733,0.00399,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240119P00080000,80.0,2024-01-19,put,0.0,0.0,0.01,0,0,0.0,-0.00067,5e-05,-0.00534,0.00075,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240119C00085000,85.0,2024-01-19,call,0.0,100.5,101.05,0,0,0.0,0.99586,0.00021,-0.04471,0.00393,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240119P00085000,85.0,2024-01-19,put,0.0,0.0,0.01,0,0,0.0,-0.00077,6e-05,-0.00572,0.00085,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240119C00090000,90.0,2024-01-19,call,0.0,95.45,95.95,5,0,0.0,1.0,0.0,-0.01312,0.0,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240119P00090000,90.0,2024-01-19,put,0.0,0.0,0.01,0,0,0.0,-0.00075,6e-05,-0.00512,0.00083,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240119C00095000,95.0,2024-01-19,call,0.0,90.0,91.1,1,0,0.0,1.0,0.0,-0.01385,0.0,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240119P00095000,95.0,2024-01-19,put,0.0,0.0,0.01,0,0,0.0,-0.0008,7e-05,-0.00504,0.00088,Vision Pro US Launch,Apple,Mixed Reality
AAPL,2024-01-08,AAPL240119C00100000,100.0,2024-01-19,call,0.0,85.3,86.15,23,0,0.0,1.0,0.0,-0.01458,0.0,Vision Pro US Launch,Apple,Mixed Reality
