event_name,ticker,company,category,announcement_date,release_date,alpha,beta,r_squared,estimation_days,abnormal_return_minus5_plus0,abnormal_return_minus3_plus0,abnormal_return_minus1_plus0,abnormal_return_plus0_plus1,abnormal_return_plus0_plus3,abnormal_return_plus0_plus5,raw_return_minus5_plus0,raw_return_minus3_plus0,raw_return_minus1_plus0,raw_return_plus0_plus1,raw_return_plus0_plus3,raw_return_plus0_plus5,volume_spike,dollar_volume,turnover,baseline_volume,event_volume,t_statistic,p_value,significant_5pct,significant_1pct,data_quality_score,analysis_timestamp
RTX 40 Series,NVDA,NVIDIA,Semiconductor Hardware,2022-09-20,2022-10-12,-0.0002746003521236457,2.128475693433126,0.7359301647647495,82,0.05406726892689624,0.008494139631913544,0.008494139631913544,0.052030918714863955,0.050828328063402796,0.050828328063402796,0.019104258187549794,-0.015393768662605223,-0.015393768662605223,0.006451048630541578,-0.05009116872413133,-0.05009116872413133,0.012055091097139092,8385002931.670832,0.6707098152035682,637885800.0,645575571.4285715,0.11006309232587819,0.9193090628014184,False,False,0.6833333333333333,2025-08-12T23:32:12.267163
RTX 40 SUPER,NVDA,NVIDIA,Semiconductor Hardware,2024-01-08,2024-01-17,0.000951605433310445,1.8046837086409797,0.3424553688567378,84,0.07184102557859395,0.056507211026979115,0.037856825707337526,0.05654744294145449,0.07708447582999921,0.0727345566863029,0.09846754523951096,0.06428087270963467,0.0,0.01697507938740772,0.04916461177479703,0.04702112620198573,0.2067716487411655,25482316327.89612,0.46597802266091815,408282400.0,492703625.0,1.2948589318517258,0.2860182436626479,False,False,0.7,2025-08-12T23:32:12.378672
RTX 3080 Ti / 3070 Ti,NVDA,NVIDIA,Semiconductor Hardware,2021-05-31,2021-06-03,-0.0005359212101053086,1.9829065951000524,0.3837325217198845,82,0.03273108135660674,0.04785538371037783,0.0,0.0027435780880044514,0.051142350045382146,0.07001900172495604,0.03468129080731619,0.0,0.0,0.0,0.04336120992216297,0.08077396970915895,0.3412406578226923,9041029615.139864,0.5155411421535042,411192000.0,551507428.5714285,0.6924011341791978,0.5602733581152578,False,False,0.6833333333333333,2025-08-12T23:32:12.494690
RTX 4070 Ti,NVDA,NVIDIA,Semiconductor Hardware,2023-01-03,2023-01-05,-0.00047240255891177474,2.0731204395541303,0.7134977412377994,83,-0.0005319064960531937,-0.01169402029354801,-0.01169402029354801,0.0034671871944287527,-0.009972514159288503,-0.009972514159288503,-0.01972219050214341,0.0,0.0,0.030317998921386646,0.03800225271240332,0.03800225271240332,-0.11700889984224061,5560390940.916857,0.3745429494945372,432663100.0,382037666.6666667,0.3866998890939158,0.7362444512997797,False,False,0.6916666666666667,2025-08-12T23:32:12.607988
H100 Hopper GPU,NVDA,NVIDIA,AI Hardware,2022-03-22,2022-09-20,0.0026317640909776134,2.840344825496419,0.5756592268132974,82,-0.02768991908336512,-0.03336892984727826,-0.03336892984727826,-0.043921995505255995,-0.022435993043351497,-0.022435993043351497,0.07098439768221643,-0.007855048110266938,-0.007855048110266938,-0.03355453514126738,0.04403551041722942,0.04403551041722942,0.20203890799946,16291030692.86693,0.5892669245305334,511025650.0,614272714.2857143,1.2425743978259904,0.30229912272116677,False,False,0.6833333333333333,2025-08-12T23:32:12.723023
Blackwell B200 / GB200,NVDA,NVIDIA,AI Hardware,2024-03-18,,0.003553439401532065,1.7147776517657733,0.35521114785040114,82,-0.04343204029568643,-0.0010051194297767563,-0.007351682602096709,-0.009931171981458674,-0.015199284955614968,0.014865177958624484,-0.026769269940911,0.007035824041053962,0.0,0.01066098559368256,0.03368943582734518,0.06595446167864316,0.005086171361801561,53658128408.34403,0.5693080718729056,592911600.0,595927250.0,-1.1084046545811348,0.3485597085994802,False,False,0.6833333333333333,2025-08-12T23:32:12.835449
Xbox Series X/S,MSFT,Microsoft,Gaming Hardware,2020-09-09,2020-11-10,0.0007883546812214835,0.9481070092536754,0.4904101800334702,84,-0.012985888581003871,-0.005872451467457414,-0.005872451467457414,0.01056139429331071,0.0027427275503963747,-0.0033625657853377042,-0.01381571029262485,0.04258357781422717,0.04258357781422717,-0.028018140314707174,-0.034360227259995435,-0.027828949985400864,0.21153744632575866,8546360460.799154,0.043321825524955386,35454235.0,42954133.333333336,-0.30365655600995706,0.7900671966851027,False,False,0.7,2025-08-12T23:32:12.950744
Windows 11,MSFT,Microsoft,Software Platform,2021-06-24,2021-10-05,0.00022704570716410325,1.1365537407886153,0.5332110534528732,85,-0.0002705778990154436,-0.0002705778990154436,-0.0013784740355903987,-0.011752773801857418,-0.011752773801857418,0.008781540129221615,0.015458945844410099,0.015458945844410099,0.005353405641275399,-0.006261887572999281,-0.006261887572999281,0.017661300444149708,-0.029582643646318907,5799543020.634585,0.02208994294307116,23185120.0,22499242.85714286,2.2980644605112155,0.10517489186366928,False,False,0.7083333333333334,2025-08-12T23:32:13.064506
Surface Pro 8 & Laptop Studio,MSFT,Microsoft,Computing Hardware,2021-09-22,2021-10-05,0.0010128995084171494,1.0992832088460798,0.4733698320270193,84,-0.0065268887045498766,0.0019987409040496174,0.002923187865811991,-0.009725676882493432,-0.013045621572513221,-0.028310677324389688,-0.004302033834770014,0.01454250514537736,0.012821949247737052,0.003282410934311253,0.0025791275531854563,-0.014769689192825952,0.1966261046452884,7647223814.199393,0.026821657287096463,22183430.0,26545271.42857143,-0.7048782375472289,0.5316824403578247,False,False,0.7,2025-08-12T23:32:13.174587
Surface Pro 9,MSFT,Microsoft,Computing Hardware,2022-10-12,2022-10-25,6.509417479607282e-05,1.173598632832842,0.8027208167593606,82,-0.03448705400925163,-0.0164339844197649,-0.0038591302352392687,0.0123748106765862,0.015831502642529905,0.02393537030751471,-0.036244819009855545,-0.015267148539107045,0.0015082837163677976,0.03760791093503468,0.012447285076854664,0.052181705188148575,0.06450821789044547,7111810695.768706,0.03063513235947551,29629215.0,31540542.85714286,-2.013474247173943,0.13752061644090885,False,False,0.6833333333333333,2025-08-12T23:32:13.288152
Copilot for Windows,MSFT,Microsoft,AI Software,2023-09-21,2023-09-26,0.0006351084511481133,1.345835638641457,0.34692694712082695,84,0.0014989768570707052,0.0014989768570707052,0.005604057182707883,0.012139869320041342,0.012139869320041342,0.00995181151579219,-0.028961320463807394,-0.028961320463807394,-0.0038658051906456103,-0.007886568452758258,-0.007886568452758258,-0.023127565484273416,0.07495416129914068,7048184453.2171755,0.02288286551819354,20720950.0,22274071.42857143,-1.535701649525355,0.22218690116284898,False,False,0.7,2025-08-12T23:32:13.400007
Battery Day,TSLA,Tesla,Energy Technology,2020-09-22,2020-09-22,0.009787338615831087,1.6916780148772452,0.2316559187403749,83,-0.04111455812591265,-0.05740551699911928,-0.05740551699911928,-0.1566364439684239,-0.13834441490518404,-0.13834441490518404,0.0018894117374879116,-0.055986946823462835,-0.055986946823462835,-0.10341090738483938,-0.03981334231675049,-0.03981334231675049,-0.033767211791470686,36349598301.00011,0.26770952001615816,271047105.0,261894600.0,-0.38923804037723736,0.7230847814917032,False,False,0.6916666666666667,2025-08-12T23:32:13.512439
